arrival_tasks,completed_tasks,dropped_tasks,effective_bits,energy_srv,energy_tx,handover,queue_mean,slot,solve_time_s,total_cost
3,0,6,0.0,0.0,0.0,0,0.0,0,0.1728971004486084,0.0
3,1,4,1010924.5310092372,2.8890625000000003e-10,1.0116537380346284,1,0.0,1,0.18835234642028809,1.0116537383235347
3,2,2,1600000.0,5.778125000000001e-10,1.6011541229882522,0,0.0,2,0.1579582691192627,1.6011541235660647
3,2,2,6414803.426603964,5.778125000000001e-10,6.419430596666315,2,0.0,3,0.1317460536956787,6.419430597244127
3,1,4,964494.8256085808,2.8890625000000003e-10,0.9651905416400091,0,0.0,4,0.141859769821167,0.9651905419289153
