Algorithm,Real Dataset Mean,Real Dataset Std,Random Dataset Mean,Random Dataset Std
OLMA_Solver,0.0,0.0,1670360.4682856165,nan
A3C_GCN_Seq2Seq_Adapter,0.0,0.0,2362248.661302513,nan
BARGAIN_MATCH_Solver,0.0,0.0,8238506120.067848,nan
NOMA_VEC_Solver,0.0,0.0,11521060956.515476,nan
OORAA_Solver,0.0,0.0,2937477020.951927,nan
