算法,真实数据集平均值,真实数据集标准差,随机数据集平均值,随机数据集标准差
OLMA_Solver,1413239.580284601,698367.4221867532,2381111.0552746993,2810679.776981636
A3C_GCN_Seq2Seq_Adapter,17257641.815303847,16899043.02736335,6044729.121324966,5759601.9051523805
BARGAIN_MATCH_Solver,422185156262883.3,63329228896378.26,329900419243709.56,147035179829719.84
NOMA_VEC_Solver,225533748282418.8,59803603429054.07,203153044089844.56,48812540740303.44
OORAA_Solver,28456244233301.676,8769066944654.121,29303579197673.855,6571535405274.01
