Algorithm,Real Dataset Mean,Real Dataset Std,Random Dataset Mean,Random Dataset Std
OLMA_Solver,209628.95766771477,0.0,544702.1095859001,0.0
A3C_GCN_Seq2Seq_Adapter,401934.401720453,0.0,366980.1331956639,0.0
BARGAIN_MATCH_Solver,1728290282382.4993,0.0,1465383679179.0005,0.0
NOMA_VEC_Solver,3506571911951711.0,154620526845684.72,3337555652459117.0,522874569608801.0
OORAA_Solver,1488693392482736.5,185149006420651.3,1407708336801840.8,647092397903931.0
