Algorithm,Real Dataset Mean,Real Dataset Std,Random Dataset Mean,Random Dataset Std
OLMA_Solver,0.0,0.0,0.1,nan
A3C_GCN_Seq2Seq_Adapter,0.0,0.0,0.1,nan
BARGAIN_MATCH_Solver,0.0,0.0,0.15025330089092068,nan
NOMA_VEC_Solver,0.0,0.0,0.19101794709430778,nan
OORAA_Solver,0.0,0.0,0.14230698667265795,nan
