arrival_tasks,completed_tasks,dropped_tasks,effective_bits,energy_srv,energy_tx,handover,queue_mean,slot,solve_time_s,total_cost
3,2,2,5657040.617095771,8e-15,6.560132032018938e-05,0,0.0,0,0.0010254383087158203,6.560132032818939e-05
3,2,2,3934393.863483183,8e-15,4.607244006808492e-05,0,0.0,1,0.003997087478637695,4.607244007608492e-05
3,2,2,6057151.145505145,8e-15,6.948487074510837e-05,0,0.0,2,0.0012388229370117188,6.948487075310837e-05
3,2,2,6214042.2463764455,8e-15,7.133701469915282e-05,0,0.0,3,0.0014467239379882812,7.133701470715283e-05
3,2,2,4437224.669476686,8e-15,5.177898032846324e-05,0,0.0,4,0.0008537769317626953,5.1778980336463244e-05
