算法,真实数据集平均值,真实数据集标准差,随机数据集平均值,随机数据集标准差
OLMA_Solver,0.0,0.0,1449609.5860030488,165156.95722134766
A3C_GCN_Seq2Seq_Adapter,0.0,0.0,2218480.8127670763,116261.40844592352
BARGAIN_MATCH_Solver,0.0,0.0,8263006651.8613615,465445898.66230905
NOMA_VEC_Solver,0.0,0.0,11426508499.874329,587591955.1003717
OORAA_Solver,0.0,0.0,3446425498.8508897,368623244.09616095
